tick,completed_cumulative,completed_now,total_energy,dead_agents,latency_ms
188,19,0,2685.2500000000027,0,2.408800006378442
189,19,0,2697.150000000003,0,2.8615999908652157
190,19,0,2706.7500000000027,0,2.3332000127993524
191,19,0,2718.6500000000024,0,2.3948999878484756
192,19,0,2730.5500000000025,0,2.4769000010564923
193,19,0,2740.150000000003,0,2.401100005954504
194,19,0,2752.050000000003,0,3.617299982579425
195,19,0,2763.950000000003,0,2.5310000055469573
196,19,0,2773.5500000000034,0,2.6720000023487955
197,19,0,2783.150000000003,0,2.4311000015586615
198,19,0,2792.7500000000027,0,2.6148000033572316
199,19,0,2802.350000000003,0,2.230099984444678
200,19,0,2811.9500000000035,0,3.0255000165198
201,19,0,2821.5500000000034,0,2.802200004225597
202,20,1,2832.300000000003,0,2.4398999812547117
203,20,0,2840.550000000003,0,2.066099987132475
204,20,0,2847.6500000000033,0,2.330399991478771
205,20,0,2862.150000000003,0,2.0631999941542745
206,20,0,2876.6500000000033,0,2.0955000072717667
207,20,0,2893.450000000003,0,2.540799992857501
208,21,1,2911.4000000000033,0,2.008399984333664
209,21,0,2919.650000000003,0,2.1394000214058906
210,21,0,2927.7500000000027,0,3.3088999916799366
211,21,0,2935.850000000003,0,2.560499997343868
212,21,0,2947.8500000000026,0,2.7187999803572893
213,21,0,2959.8500000000026,0,2.288400020916015
214,21,0,2971.850000000003,0,2.1284999966155738
215,21,0,2986.150000000003,0,2.342699997825548
216,21,0,3002.950000000003,0,2.1056999976281077
217,21,0,3012.550000000003,0,2.7113000105600804
218,21,0,3030.5000000000027,0,2.225899981567636
219,21,0,3048.4500000000025,1,2.092099981382489
220,21,0,3060.2500000000027,1,2.131099987309426
221,21,0,3072.050000000003,1,2.0797000033780932
222,21,0,3077.6000000000026,1,2.2052999993320554
223,21,0,3083.775000000003,1,2.45499997981824
224,21,0,3085.8750000000027,1,2.9707000066991895
225,21,0,3095.3750000000027,1,3.466800000751391
226,21,0,3105.8750000000027,1,2.5482999917585403
227,21,0,3120.450000000003,1,2.2461999906226993
228,21,0,3135.175000000003,1,2.2743000008631498
229,21,0,3145.8250000000035,1,2.5963000080082566
230,22,1,3155.325000000003,1,2.1692999871447682
231,22,0,3162.325000000003,1,2.565400005551055
232,22,0,3172.250000000003,1,2.3179999843705446
233,22,0,3182.175000000003,1,2.0588000188581645
234,22,0,3190.325000000003,1,2.0369999983813614
235,22,0,3199.6250000000027,1,1.6747999761719257
236,22,0,3207.7750000000033,1,2.3187999904621392
237,22,0,3218.0750000000025,1,2.5544000091031194
238,22,0,3228.375000000003,1,2.195600012782961
